id,name,category,price,stock
112,lighting-112,lighting,53.44,284
113,breakroom-113,breakroom,54.81,291
114,furniture-114,furniture,56.18,298
115,stationery-115,stationery,57.55,305
116,peripherals-116,peripherals,58.92,312
117,storage-117,storage,60.29,319
118,lighting-118,lighting,61.66,326
119,breakroom-119,breakroom,63.03,333
120,furniture-120,furniture,64.40,340
121,stationery-121,stationery,65.77,347
122,peripherals-122,peripherals,67.14,354
123,storage-123,storage,68.51,361
124,lighting-124,lighting,69.88,368
125,breakroom-125,breakroom,71.25,375
126,furniture-126,furniture,72.62,382
127,stationery-127,stationery,73.99,389
128,peripherals-128,peripherals,75.36,396
129,storage-129,storage,76.73,403
130,lighting-130,lighting,78.10,410
131,breakroom-131,breakroom,79.47,417
132,furniture-132,furniture,80.84,424
133,stationery-133,stationery,82.21,431
134,peripherals-134,peripherals,83.58,438
135,storage-135,storage,84.95,445
136,lighting-136,lighting,86.32,452
137,breakroom-137,breakroom,87.69,459
138,furniture-138,furniture,89.06,466
139,stationery-139,stationery,90.43,473
140,peripherals-140,peripherals,91.80,480
141,storage-141,storage,93.17,487
142,lighting-142,lighting,94.54,494
143,breakroom-143,breakroom,95.91,1
144,furniture-144,furniture,97.28,8
145,stationery-145,stationery,98.65,15
146,peripherals-146,peripherals,0.02,22
147,storage-147,storage,1.39,29
148,lighting-148,lighting,2.76,36
149,breakroom-149,breakroom,4.13,43
150,furniture-150,furniture,5.50,50
151,stationery-151,stationery,6.87,57
152,peripherals-152,peripherals,8.24,64
153,storage-153,storage,9.61,71
154,lighting-154,lighting,10.98,78
155,breakroom-155,breakroom,12.35,85
156,furniture-156,furniture,13.72,92
157,stationery-157,stationery,15.09,99
158,peripherals-158,peripherals,16.46,106
159,storage-159,storage,17.83,113
160,lighting-160,lighting,19.20,120
161,breakroom-161,breakroom,20.57,127
162,furniture-162,furniture,21.94,134
163,stationery-163,stationery,23.31,141
164,peripherals-164,peripherals,24.68,148
165,storage-165,storage,26.05,155
166,lighting-166,lighting,27.42,162
167,breakroom-167,breakroom,28.79,169
168,furniture-168,furniture,30.16,176
169,stationery-169,stationery,31.53,183
170,peripherals-170,peripherals,32.90,190
171,storage-171,storage,34.27,197
172,lighting-172,lighting,35.64,204
173,breakroom-173,breakroom,37.01,211
174,furniture-174,furniture,38.38,218
175,stationery-175,stationery,39.75,225
176,peripherals-176,peripherals,41.12,232
177,storage-177,storage,42.49,239
178,lighting-178,lighting,43.86,246
179,breakroom-179,breakroom,45.23,253
180,furniture-180,furniture,46.60,260
181,stationery-181,stationery,47.97,267
182,peripherals-182,peripherals,49.34,274
183,storage-183,storage,50.71,281
184,lighting-184,lighting,52.08,288
185,breakroom-185,breakroom,53.45,295
186,furniture-186,furniture,54.82,302
187,stationery-187,stationery,56.19,309
188,peripherals-188,peripherals,57.56,316
189,storage-189,storage,58.93,323
190,lighting-190,lighting,60.30,330
191,breakroom-191,breakroom,61.67,337
192,furniture-192,furniture,63.04,344
193,stationery-193,stationery,64.41,351
194,peripherals-194,peripherals,65.78,358
195,storage-195,storage,67.15,365
196,lighting-196,lighting,68.52,372
197,breakroom-197,breakroom,69.89,379
198,furniture-198,furniture,71.26,386
199,stationery-199,stationery,72.63,393
200,peripherals-200,peripherals,74.00,400
201,storage-201,storage,75.37,407
202,lighting-202,lighting,76.74,414
203,breakroom-203,breakroom,78.11,421
204,furniture-204,furniture,79.48,428
205,stationery-205,stationery,80.85,435
206,peripherals-206,peripherals,82.22,442
207,storage-207,storage,83.59,449
208,lighting-208,lighting,84.96,456
209,breakroom-209,breakroom,86.33,463
210,furniture-210,furniture,87.70,470
211,stationery-211,stationery,89.07,477
212,peripherals-212,peripherals,90.44,484
213,storage-213,storage,91.81,491
214,lighting-214,lighting,93.18,498
215,breakroom-215,breakroom,94.55,5
216,furniture-216,furniture,95.92,12
217,stationery-217,stationery,97.29,19
218,peripherals-218,peripherals,98.66,26
219,storage-219,storage,0.03,33
220,lighting-220,lighting,1.40,40
221,breakroom-221,breakroom,2.77,47
222,furniture-222,furniture,4.14,54
223,stationery-223,stationery,5.51,61
224,peripherals-224,peripherals,6.88,68
225,storage-225,storage,8.25,75
226,lighting-226,lighting,9.62,82
227,breakroom-227,breakroom,10.99,89
228,furniture-228,furniture,12.36,96
229,stationery-229,stationery,13.73,103
230,peripherals-230,peripherals,15.10,110
231,storage-231,storage,16.47,117
232,lighting-232,lighting,17.84,124
233,breakroom-233,breakroom,19.21,131
234,furniture-234,furniture,20.58,138
235,stationery-235,stationery,21.95,145
236,peripherals-236,peripherals,23.32,152
237,storage-237,storage,24.69,159
238,lighting-238,lighting,26.06,166
239,breakroom-239,breakroom,27.43,173
240,furniture-240,furniture,28.80,180
241,stationery-241,stationery,30.17,187
242,peripherals-242,peripherals,31.54,194
243,storage-243,storage,32.91,201
244,lighting-244,lighting,34.28,208
245,breakroom-245,breakroom,35.65,215
246,furniture-246,furniture,37.02,222
247,stationery-247,stationery,38.39,229
248,peripherals-248,peripherals,39.76,236
249,storage-249,storage,41.13,243
250,lighting-250,lighting,42.50,250
251,breakroom-251,breakroom,43.87,257
252,furniture-252,furniture,45.24,264
253,stationery-253,stationery,46.61,271
254,peripherals-254,peripherals,47.98,278
255,storage-255,storage,49.35,285
256,lighting-256,lighting,50.72,292
257,breakroom-257,breakroom,52.09,299
258,furniture-258,furniture,53.46,306
259,stationery-259,stationery,54.83,313
260,peripherals-260,peripherals,56.20,320
261,storage-261,storage,57.57,327
262,lighting-262,lighting,58.94,334
263,breakroom-263,breakroom,60.31,341
264,furniture-264,furniture,61.68,348
265,stationery-265,stationery,63.05,355
266,peripherals-266,peripherals,64.42,362
267,storage-267,storage,65.79,369
268,lighting-268,lighting,67.16,376
269,breakroom-269,breakroom,68.53,383
270,furniture-270,furniture,69.90,390
271,stationery-271,stationery,71.27,397
272,peripherals-272,peripherals,72.64,404
273,storage-273,storage,74.01,411
274,lighting-274,lighting,75.38,418
275,breakroom-275,breakroom,76.75,425
276,furniture-276,furniture,78.12,432
277,stationery-277,stationery,79.49,439
278,peripherals-278,peripherals,80.86,446
279,storage-279,storage,82.23,453
280,lighting-280,lighting,83.60,460
281,breakroom-281,breakroom,84.97,467
282,furniture-282,furniture,86.34,474
283,stationery-283,stationery,87.71,481
284,peripherals-284,peripherals,89.08,488
285,storage-285,storage,90.45,495
286,lighting-286,lighting,91.82,2
287,breakroom-287,breakroom,93.19,9
288,furniture-288,furniture,94.56,16
289,stationery-289,stationery,95.93,23
290,peripherals-290,peripherals,97.30,30
291,storage-291,storage,98.67,37
292,lighting-292,lighting,0.04,44
293,breakroom-293,breakroom,1.41,51
294,furniture-294,furniture,2.78,58
295,stationery-295,stationery,4.15,65
296,peripherals-296,peripherals,5.52,72
297,storage-297,storage,6.89,79
298,lighting-298,lighting,8.26,86
299,breakroom-299,breakroom,9.63,93
300,furniture-300,furniture,11.00,100
301,stationery-301,stationery,12.37,107
302,peripherals-302,peripherals,13.74,114
303,storage-303,storage,15.11,121
304,lighting-304,lighting,16.48,128
305,breakroom-305,breakroom,17.85,135
306,furniture-306,furniture,19.22,142
307,stationery-307,stationery,20.59,149
308,peripherals-308,peripherals,21.96,156
309,storage-309,storage,23.33,163
310,lighting-310,lighting,24.70,170
311,breakroom-311,breakroom,26.07,177
312,furniture-312,furniture,27.44,184
313,stationery-313,stationery,28.81,191
314,peripherals-314,peripherals,30.18,198
315,storage-315,storage,31.55,205
316,lighting-316,lighting,32.92,212
317,breakroom-317,breakroom,34.29,219
318,furniture-318,furniture,35.66,226
319,stationery-319,stationery,37.03,233
320,peripherals-320,peripherals,38.40,240
321,storage-321,storage,39.77,247
322,lighting-322,lighting,41.14,254
323,breakroom-323,breakroom,42.51,261
324,furniture-324,furniture,43.88,268
325,stationery-325,stationery,45.25,275
326,peripherals-326,peripherals,46.62,282
327,storage-327,storage,47.99,289
328,lighting-328,lighting,49.36,296
329,breakroom-329,breakroom,50.73,303
330,furniture-330,furniture,52.10,310
331,stationery-331,stationery,53.47,317
332,peripherals-332,peripherals,54.84,324
333,storage-333,storage,56.21,331
334,lighting-334,lighting,57.58,338
335,breakroom-335,breakroom,58.95,345
336,furniture-336,furniture,60.32,352
337,stationery-337,stationery,61.69,359
338,peripherals-338,peripherals,63.06,366
339,storage-339,storage,64.43,373
340,lighting-340,lighting,65.80,380
341,breakroom-341,breakroom,67.17,387
342,furniture-342,furniture,68.54,394
343,stationery-343,stationery,69.91,401
344,peripherals-344,peripherals,71.28,408
345,storage-345,storage,72.65,415
346,lighting-346,lighting,74.02,422
347,breakroom-347,breakroom,75.39,429
348,furniture-348,furniture,76.76,436
349,stationery-349,stationery,78.13,443
350,peripherals-350,peripherals,79.50,450
351,storage-351,storage,80.87,457
352,lighting-352,lighting,82.24,464
353,breakroom-353,breakroom,83.61,471
354,furniture-354,furniture,84.98,478
355,stationery-355,stationery,86.35,485
356,peripherals-356,peripherals,87.72,492
357,storage-357,storage,89.09,499
358,lighting-358,lighting,90.46,6
359,breakroom-359,breakroom,91.83,13
360,furniture-360,furniture,93.20,20
361,stationery-361,stationery,94.57,27
362,peripherals-362,peripherals,95.94,34
363,storage-363,storage,97.31,41
364,lighting-364,lighting,98.68,48
365,breakroom-365,breakroom,0.05,55
366,furniture-366,furniture,1.42,62
367,stationery-367,stationery,2.79,69
368,peripherals-368,peripherals,4.16,76
369,storage-369,storage,5.53,83
370,lighting-370,lighting,6.90,90
371,breakroom-371,breakroom,8.27,97
372,furniture-372,furniture,9.64,104
373,stationery-373,stationery,11.01,111
374,peripherals-374,peripherals,12.38,118
375,storage-375,storage,13.75,125
376,lighting-376,lighting,15.12,132
377,breakroom-377,breakroom,16.49,139
378,furniture-378,furniture,17.86,146
379,stationery-379,stationery,19.23,153
380,peripherals-380,peripherals,20.60,160
381,storage-381,storage,21.97,167
382,lighting-382,lighting,23.34,174
383,breakroom-383,breakroom,24.71,181
384,furniture-384,furniture,26.08,188
385,stationery-385,stationery,27.45,195
386,peripherals-386,peripherals,28.82,202
387,storage-387,storage,30.19,209
388,lighting-388,lighting,31.56,216
389,breakroom-389,breakroom,32.93,223
390,furniture-390,furniture,34.30,230
391,stationery-391,stationery,35.67,237
392,peripherals-392,peripherals,37.04,244
393,storage-393,storage,38.41,251
394,lighting-394,lighting,39.78,258
395,breakroom-395,breakroom,41.15,265
396,furniture-396,furniture,42.52,272
397,stationery-397,stationery,43.89,279
398,peripherals-398,peripherals,45.26,286
399,storage-399,storage,46.63,293
400,lighting-400,lighting,48.00,300
401,breakroom-401,breakroom,49.37,307
402,furniture-402,furniture,50.74,314
403,stationery-403,stationery,52.11,321
404,peripherals-404,peripherals,53.48,328
405,storage-405,storage,54.85,335
406,lighting-406,lighting,56.22,342
407,breakroom-407,breakroom,57.59,349
408,furniture-408,furniture,58.96,356
409,stationery-409,stationery,60.33,363
410,peripherals-410,peripherals,61.70,370
411,storage-411,storage,63.07,377
412,lighting-412,lighting,64.44,384
413,breakroom-413,breakroom,65.81,391
414,furniture-414,furniture,67.18,398
415,stationery-415,stationery,68.55,405
416,peripherals-416,peripherals,69.92,412
417,storage-417,storage,71.29,419
418,lighting-418,lighting,72.66,426
419,breakroom-419,breakroom,74.03,433
420,furniture-420,furniture,75.40,440
421,stationery-421,stationery,76.77,447
422,peripherals-422,peripherals,78.14,454
423,storage-423,storage,79.51,461
424,lighting-424,lighting,80.88,468
425,breakroom-425,breakroom,82.25,475
426,furniture-426,furniture,83.62,482
427,stationery-427,stationery,84.99,489
428,peripherals-428,peripherals,86.36,496
429,storage-429,storage,87.73,3
430,lighting-430,lighting,89.10,10
431,breakroom-431,breakroom,90.47,17
432,furniture-432,furniture,91.84,24
433,stationery-433,stationery,93.21,31
434,peripherals-434,peripherals,94.58,38
435,storage-435,storage,95.95,45
436,lighting-436,lighting,97.32,52
437,breakroom-437,breakroom,98.69,59
438,furniture-438,furniture,0.06,66
439,stationery-439,stationery,1.43,73
440,peripherals-440,peripherals,2.80,80
441,storage-441,storage,4.17,87
442,lighting-442,lighting,5.54,94
443,breakroom-443,breakroom,6.91,101
444,furniture-444,furniture,8.28,108
445,stationery-445,stationery,9.65,115
446,peripherals-446,peripherals,11.02,122
447,storage-447,storage,12.39,129
448,lighting-448,lighting,13.76,136
449,breakroom-449,breakroom,15.13,143
450,furniture-450,furniture,16.50,150
451,stationery-451,stationery,17.87,157
452,peripherals-452,peripherals,19.24,164
453,storage-453,storage,20.61,171
454,lighting-454,lighting,21.98,178
455,breakroom-455,breakroom,23.35,185
456,furniture-456,furniture,24.72,192
457,stationery-457,stationery,26.09,199
458,peripherals-458,peripherals,27.46,206
459,storage-459,storage,28.83,213
460,lighting-460,lighting,30.20,220
461,breakroom-461,breakroom,31.57,227
462,furniture-462,furniture,32.94,234
463,stationery-463,stationery,34.31,241
464,peripherals-464,peripherals,35.68,248
465,storage-465,storage,37.05,255
466,lighting-466,lighting,38.42,262
467,breakroom-467,breakroom,39.79,269
468,furniture-468,furniture,41.16,276
469,stationery-469,stationery,42.53,283
470,peripherals-470,peripherals,43.90,290
471,storage-471,storage,45.27,297
472,lighting-472,lighting,46.64,304
473,breakroom-473,breakroom,48.01,311
474,furniture-474,furniture,49.38,318
475,stationery-475,stationery,50.75,325
476,peripherals-476,peripherals,52.12,332
477,storage-477,storage,53.49,339
478,lighting-478,lighting,54.86,346
479,breakroom-479,breakroom,56.23,353
480,furniture-480,furniture,57.60,360
481,stationery-481,stationery,58.97,367
482,peripherals-482,peripherals,60.34,374
483,storage-483,storage,61.71,381
484,lighting-484,lighting,63.08,388
485,breakroom-485,breakroom,64.45,395
486,furniture-486,furniture,65.82,402
487,stationery-487,stationery,67.19,409
488,peripherals-488,peripherals,68.56,416
489,storage-489,storage,69.93,423
490,lighting-490,lighting,71.30,430
491,breakroom-491,breakroom,72.67,437
492,furniture-492,furniture,74.04,444
493,stationery-493,stationery,75.41,451
494,peripherals-494,peripherals,76.78,458
495,storage-495,storage,78.15,465
496,lighting-496,lighting,79.52,472
497,breakroom-497,breakroom,80.89,479
498,furniture-498,furniture,82.26,486
499,stationery-499,stationery,83.63,493
500,peripherals-500,peripherals,85.00,0
501,storage-501,storage,86.37,7
502,lighting-502,lighting,87.74,14
503,breakroom-503,breakroom,89.11,21
504,furniture-504,furniture,90.48,28
505,stationery-505,stationery,91.85,35
506,peripherals-506,peripherals,93.22,42
507,storage-507,storage,94.59,49
508,lighting-508,lighting,95.96,56
509,breakroom-509,breakroom,97.33,63
510,furniture-510,furniture,98.70,70
511,stationery-511,stationery,0.07,77
512,peripherals-512,peripherals,1.44,84
513,storage-513,storage,2.81,91
514,lighting-514,lighting,4.18,98
515,breakroom-515,breakroom,5.55,105
516,furniture-516,furniture,6.92,112
517,stationery-517,stationery,8.29,119
518,peripherals-518,peripherals,9.66,126
519,storage-519,storage,11.03,133
520,lighting-520,lighting,12.40,140
521,breakroom-521,breakroom,13.77,147
522,furniture-522,furniture,15.14,154
523,stationery-523,stationery,16.51,161
524,peripherals-524,peripherals,17.88,168
525,storage-525,storage,19.25,175
526,lighting-526,lighting,20.62,182
527,breakroom-527,breakroom,21.99,189
528,furniture-528,furniture,23.36,196
529,stationery-529,stationery,24.73,203
530,peripherals-530,peripherals,26.10,210
531,storage-531,storage,27.47,217
532,lighting-532,lighting,28.84,224
533,breakroom-533,breakroom,30.21,231
534,furniture-534,furniture,31.58,238
535,stationery-535,stationery,32.95,245
536,peripherals-536,peripherals,34.32,252
537,storage-537,storage,35.69,259
538,lighting-538,lighting,37.06,266
539,breakroom-539,breakroom,38.43,273
540,furniture-540,furniture,39.80,280
541,stationery-541,stationery,41.17,287
542,peripherals-542,peripherals,42.54,294
543,storage-543,storage,43.91,301
544,lighting-544,lighting,45.28,308
545,breakroom-545,breakroom,46.65,315
546,furniture-546,furniture,48.02,322
547,stationery-547,stationery,49.39,329
548,peripherals-548,peripherals,50.76,336
549,storage-549,storage,52.13,343
550,lighting-550,lighting,53.50,350
551,breakroom-551,breakroom,54.87,357
552,furniture-552,furniture,56.24,364
553,stationery-553,stationery,57.61,371
554,peripherals-554,peripherals,58.98,378
555,storage-555,storage,60.35,385
556,lighting-556,lighting,61.72,392
557,breakroom-557,breakroom,63.09,399
558,furniture-558,furniture,64.46,406
559,stationery-559,stationery,65.83,413
560,peripherals-560,peripherals,67.20,420
561,storage-561,storage,68.57,427
562,lighting-562,lighting,69.94,434
563,breakroom-563,breakroom,71.31,441
564,furniture-564,furniture,72.68,448
565,stationery-565,stationery,74.05,455
566,peripherals-566,peripherals,75.42,462
567,storage-567,storage,76.79,469
568,lighting-568,lighting,78.16,476
569,breakroom-569,breakroom,79.53,483
570,furniture-570,furniture,80.90,490
571,stationery-571,stationery,82.27,497
572,peripherals-572,peripherals,83.64,4
573,storage-573,storage,85.01,11
574,lighting-574,lighting,86.38,18
575,breakroom-575,breakroom,87.75,25
576,furniture-576,furniture,89.12,32
577,stationery-577,stationery,90.49,39
578,peripherals-578,peripherals,91.86,46
579,storage-579,storage,93.23,53
580,lighting-580,lighting,94.60,60
581,breakroom-581,breakroom,95.97,67
582,furniture-582,furniture,97.34,74
583,stationery-583,stationery,98.71,81
584,peripherals-584,peripherals,0.08,88
585,storage-585,storage,1.45,95
586,lighting-586,lighting,2.82,102
587,breakroom-587,breakroom,4.19,109
588,furniture-588,furniture,5.56,116
589,stationery-589,stationery,6.93,123
590,peripherals-590,peripherals,8.30,130
591,storage-591,storage,9.67,137
592,lighting-592,lighting,11.04,144
593,breakroom-593,breakroom,12.41,151
594,furniture-594,furniture,13.78,158
595,stationery-595,stationery,15.15,165
596,peripherals-596,peripherals,16.52,172
597,storage-597,storage,17.89,179
598,lighting-598,lighting,19.26,186
599,breakroom-599,breakroom,20.63,193
600,furniture-600,furniture,22.00,200
601,stationery-601,stationery,23.37,207
602,peripherals-602,peripherals,24.74,214
603,storage-603,storage,26.11,221
604,lighting-604,lighting,27.48,228
605,breakroom-605,breakroom,28.85,235
606,furniture-606,furniture,30.22,242
607,stationery-607,stationery,31.59,249
608,peripherals-608,peripherals,32.96,256
609,storage-609,storage,34.33,263
610,lighting-610,lighting,35.70,270
611,breakroom-611,breakroom,37.07,277
612,furniture-612,furniture,38.44,284
613,stationery-613,stationery,39.81,291
614,peripherals-614,peripherals,41.18,298
615,storage-615,storage,42.55,305
616,lighting-616,lighting,43.92,312
617,breakroom-617,breakroom,45.29,319
618,furniture-618,furniture,46.66,326
619,stationery-619,stationery,48.03,333
620,peripherals-620,peripherals,49.40,340
621,storage-621,storage,50.77,347
622,lighting-622,lighting,52.14,354
623,breakroom-623,breakroom,53.51,361
624,furniture-624,furniture,54.88,368
625,stationery-625,stationery,56.25,375
626,peripherals-626,peripherals,57.62,382
627,storage-627,storage,58.99,389
628,lighting-628,lighting,60.36,396
629,breakroom-629,breakroom,61.73,403
630,furniture-630,furniture,63.10,410
631,stationery-631,stationery,64.47,417
632,peripherals-632,peripherals,65.84,424
633,storage-633,storage,67.21,431
634,lighting-634,lighting,68.58,438
635,breakroom-635,breakroom,69.95,445
636,furniture-636,furniture,71.32,452
637,stationery-637,stationery,72.69,459
638,peripherals-638,peripherals,74.06,466
639,storage-639,storage,75.43,473
640,lighting-640,lighting,76.80,480
641,breakroom-641,breakroom,78.17,487
642,furniture-642,furniture,79.54,494
643,stationery-643,stationery,80.91,1
644,peripherals-644,peripherals,82.28,8
645,storage-645,storage,83.65,15
646,lighting-646,lighting,85.02,22
647,breakroom-647,breakroom,86.39,29
648,furniture-648,furniture,87.76,36
649,stationery-649,stationery,89.13,43
650,peripherals-650,peripherals,90.50,50
651,storage-651,storage,91.87,57
652,lighting-652,lighting,93.24,64
653,breakroom-653,breakroom,94.61,71
654,furniture-654,furniture,95.98,78
655,stationery-655,stationery,97.35,85
656,peripherals-656,peripherals,98.72,92
657,storage-657,storage,0.09,99
658,lighting-658,lighting,1.46,106
659,breakroom-659,breakroom,2.83,113
660,furniture-660,furniture,4.20,120
661,stationery-661,stationery,5.57,127
662,peripherals-662,peripherals,6.94,134
663,storage-663,storage,8.31,141
664,lighting-664,lighting,9.68,148
665,breakroom-665,breakroom,11.05,155
666,furniture-666,furniture,12.42,162
667,stationery-667,stationery,13.79,169
668,peripherals-668,peripherals,15.16,176
669,storage-669,storage,16.53,183
670,lighting-670,lighting,17.90,190
671,breakroom-671,breakroom,19.27,197
672,furniture-672,furniture,20.64,204
673,stationery-673,stationery,22.01,211
674,peripherals-674,peripherals,23.38,218
675,storage-675,storage,24.75,225
676,lighting-676,lighting,26.12,232
677,breakroom-677,breakroom,27.49,239
678,furniture-678,furniture,28.86,246
679,stationery-679,stationery,30.23,253
680,peripherals-680,peripherals,31.60,260
681,storage-681,storage,32.97,267
682,lighting-682,lighting,34.34,274
683,breakroom-683,breakroom,35.71,281
684,furniture-684,furniture,37.08,288
685,stationery-685,stationery,38.45,295
686,peripherals-686,peripherals,39.82,302
687,storage-687,storage,41.19,309
688,lighting-688,lighting,42.56,316
689,breakroom-689,breakroom,43.93,323
690,furniture-690,furniture,45.30,330
691,stationery-691,stationery,46.67,337
692,peripherals-692,peripherals,48.04,344
693,storage-693,storage,49.41,351
694,lighting-694,lighting,50.78,358
695,breakroom-695,breakroom,52.15,365
696,furniture-696,furniture,53.52,372
697,stationery-697,stationery,54.89,379
698,peripherals-698,peripherals,56.26,386
699,storage-699,storage,57.63,393
700,lighting-700,lighting,59.00,400
701,breakroom-701,breakroom,60.37,407
702,furniture-702,furniture,61.74,414
703,stationery-703,stationery,63.11,421
704,peripherals-704,peripherals,64.48,428
705,storage-705,storage,65.85,435
706,lighting-706,lighting,67.22,442
707,breakroom-707,breakroom,68.59,449
708,furniture-708,furniture,69.96,456
709,stationery-709,stationery,71.33,463
710,peripherals-710,peripherals,72.70,470
711,storage-711,storage,74.07,477
712,lighting-712,lighting,75.44,484
713,breakroom-713,breakroom,76.81,491
714,furniture-714,furniture,78.18,498
715,stationery-715,stationery,79.55,5
716,peripherals-716,peripherals,80.92,12
717,storage-717,storage,82.29,19
718,lighting-718,lighting,83.66,26
719,breakroom-719,breakroom,85.03,33
720,furniture-720,furniture,86.40,40
721,stationery-721,stationery,87.77,47
722,peripherals-722,peripherals,89.14,54
723,storage-723,storage,90.51,61
724,lighting-724,lighting,91.88,68
725,breakroom-725,breakroom,93.25,75
726,furniture-726,furniture,94.62,82
727,stationery-727,stationery,95.99,89
728,peripherals-728,peripherals,97.36,96
729,storage-729,storage,98.73,103
730,lighting-730,lighting,0.10,110
731,breakroom-731,breakroom,1.47,117
732,furniture-732,furniture,2.84,124
733,stationery-733,stationery,4.21,131
734,peripherals-734,peripherals,5.58,138
735,storage-735,storage,6.95,145
736,lighting-736,lighting,8.32,152
737,breakroom-737,breakroom,9.69,159
738,furniture-738,furniture,11.06,166
739,stationery-739,stationery,12.43,173
740,peripherals-740,peripherals,13.80,180
741,storage-741,storage,15.17,187
742,lighting-742,lighting,16.54,194
743,breakroom-743,breakroom,17.91,201
744,furniture-744,furniture,19.28,208
745,stationery-745,stationery,20.65,215
746,peripherals-746,peripherals,22.02,222
747,storage-747,storage,23.39,229
748,lighting-748,lighting,24.76,236
749,breakroom-749,breakroom,26.13,243
750,furniture-750,furniture,27.50,250
751,stationery-751,stationery,28.87,257
752,peripherals-752,peripherals,30.24,264
753,storage-753,storage,31.61,271
754,lighting-754,lighting,32.98,278
755,breakroom-755,breakroom,34.35,285
756,furniture-756,furniture,35.72,292
757,stationery-757,stationery,37.09,299
758,peripherals-758,peripherals,38.46,306
759,storage-759,storage,39.83,313
760,lighting-760,lighting,41.20,320
761,breakroom-761,breakroom,42.57,327
762,furniture-762,furniture,43.94,334
